question,answer
"Gentile Venditore,Siamo stati contattati da uno nostro cliente per un ordine effettuato presso la sua vetrina online.  Di seguito trova le informazioni forniteci dal cliente:--------------------Ordine #: 171-1057883-2068338ASIN: Apple iPhone 11 64GB - Viola - Sbloccato (Ricondizionato) Motivo: Resi e RimborsiDettagli: Gentile [ECOMMUNITY], Il cliente chiede la restituzione dellarticolo in quanto [Da un giorno circa il telefono non risconsce la batteria bloccando anche la carica.]. Ti chiediamo gentilmente di contattare al pi¨´ presto il cliente per confermare le modalit¨¤ di reso e rimborso. Grazie e buon lavoro.-------------------Per rispondere a questo cliente, risponda a queste-mail oppure utilizzi il suo account venditore cliccando sul seguente link: [link rimosso] Ci auguriamo di poter risolvere il problema del cliente.Cordiali saluti.Servizio Clienti,Amazon.ithttp://www.amazon.it","Hi Ester:Thank you for shopping with us. Amazon seller ECOMMUNITY would like to follow upon your recent return.Message from seller ECOMMUNITY:Gentile Cliente,Ci scusiamo per linconveniente! Ti invieremo letichetta di reso nella prossimaemail! Buona giornata!You can send a message to the seller ECOMMUNITY by replying to this email.You can review Amazons return policies by clicking here[https://sellercentral-europe.amazon.com/nms/redirect/8bc8dd7f-c719-3164-9b42-f730a2db3834?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=mNKVW9VGPrteT7AokZbgLyvpJ-FbFGeHJWPKZ_bC1l2ELaZ1ilTQsXO-n_OHhDFPHcS5-HSEX9HUY8a61EVkDg&n=1&u=aHR0cHM6Ly93d3cuYW1hem9uLml0L2dwL2hlbHAvY3VzdG9tZXIvZGlzcGxheS5odG1sP2llPVVURjgmbm9kZUlkPTIwMTgxOTIwMA].If you are dissatisfied with your return experience, please contact us[https://sellercentral-europe.amazon.com/nms/redirect/3c8f58a0-b4dd-37ad-8aee-169d4ba32bdc?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=yEn8o8ErgkFgmcQnXxWUFs4t_sYmRFc7WPWcZ-S6k2xl5EzJCBmHH40rScNLWbJX599dGNcom1g-dHAS8nVdzw&n=1&u=aHR0cHM6Ly93d3cuYW1hem9uLml0L2dwL2hlbHAvY3VzdG9tZXIvY29udGFjdC11cw].If you were contacted inappropriately by the seller, please report this message.We hope to see you again soon.
Gentile Cliente,Vi preghiamo di inviarci le foto del dispositivo per proteggervi da qualsiasi controversia, le foto dello schermo acceso e spento e la copertina posteriore prima della spedizione. Si prega di trovare letichetta di spedizione gratuita allegata.Si prega di seguire attentamente queste istruzioni e, se queste istruzioni non vengono seguite, dovremo restituirvi il dispositivo.1. Disabilita CODE LOCK se il tuo dispositivo ne ha uno o scrivilo su un pezzo di carta e mettilo nella scatola.2. SCOLLEGARE il tuo account ICLOUD. Se ¨¨ presente un account iCloud connesso al telefono restituito, questo rallenter¨¤ il processo di supporto. Se non riesci a uscire dallaccount iCloud, faccelo sapere.3. Salva i tuoi dati e rimuovi la scheda SIM.4. Quindi puoi imballare il prodotto. Utilizzare un imballaggio sufficientemente RESISTENTE e tutti gli accessori ricevuti devono essere restituiti insieme. Si prega di imballare accuratamente il prodotto per proteggersi da eventuali controversie.5. Stampa letichetta di spedizione sul pacco.6. Puoi consegnare il pacco al seguente indirizzo: VIA ROSSINI 20 ANG. VIA DANNUNZIO 4/6/803043 CASSINO ItalySe questo indirizzo non ti soddisfa, puoi controllare il sito Web del corriere per un elenco di punti di consegna nelle vicinanze.Una volta ricevuto il prodotto restituito e che soddisfa i requisiti, ti rimborseremo entro 48 ore lavorative.Ci scusiamo ancora per il disagio causato da noi e vi ringraziamo per la vostra comprensione.Aspettando una risposta!
Gentile Cliente,E sappiamo che il tuo telefono non pu¨° essere caricato. Quindi forse non puoi disattivare il tuo account iCloud sul tuo telefono. Segui le istruzioni per uscire dal tuo account iCloud con un laptop o un computer. Non ¨¨ necessario disporre di un telefono, ¨¨ sufficiente utilizzare un computer o un laptop. 1. Vai alla pagina: https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/f63a5b19-b5c5-3107-91fb-d801aaf495c1?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=MjNKNI8WGJwOXHarReCeGNP2G9awnYvTAGvdARRpiEG-UV8B3ZXsfkSb0M9rJb2szhdGeAfSxm3F52cnn5-Arg&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 e accedi allaccount iCloud a cui era connesso il tuo dispositivo. 2. Se lautenticazione a due fattori ¨¨ abilitata, dovresti ricevere un codice di verifica sui tuoi dispositivi attendibili. In caso contrario, inserisci la scheda SIM in un nuovo dispositivo e fai clic su ""Non hai ricevuto un codice?"" quindi ""Inviami un SMS"". 3. Fai clic su ""Cerca"" Se non vedi lapp ""Cerca"", significa che non hai effettuato laccesso allaccount iCloud corretto; verifica che sia effettivamente lID Apple utilizzato per il tuo dispositivo. 4. Fai clic su ""Tutti i miei dispositivi"" nella parte superiore della finestra. Se non vedi ""Tutti i miei dispositivi"", significa che hai gi¨¤ selezionato un dispositivo. Fare clic sul nome del dispositivo corrente al centro della barra degli strumenti per accedere allelenco Dispositivi, quindi selezionare un altro dispositivo. 5. Selezionare il dispositivo Apple che si desidera disconnettere, dovrebbe essere offline (con un punto grigio a sinistra). Un dispositivo ¨¨ considerato offline se ¨¨ spento o disconnesso da qualsiasi rete Internet. 6. Fai clic su ""Rimuovi dallaccount"". Se non vedi il pulsante ""Rimuovi dallaccount"", assicurati di disconnettere il dispositivo (spegnilo). 7. Apple ti chiede di confermare la rimozione del dispositivo. Fare clic su ""Elimina"". Infine, Apple ti chiede di inserire la password per convalidare leliminazione. Inserisci la tua password e clicca su ""Elimina"". In questo modo, uscirai correttamente dal tuo account iCloud sul dispositivo. Grazie mille per il vostro sostegno."
"Il telefono non si accende pi¨´ . ¨¨ il secondo telefono che compro da voi e li ho restituiti entrambi perche avevano problemi . Prima di venderli sarebbe il caso di controllarti per bene ! Poi le persone rimangono senza telefono a causa vostra .  
Oggi stesso lo spedisco","Gentile Cliente,Ci scusiamo per gli eventuali disagi. Seguiremo il pacco e vi terremo aggiornati al momento della ricezione. A presto e buona giornata?
Gentile Cliente,Spero tu stia bene oggi! Secondo la logistica, il pacco ¨¨ stato consegnato. Verificheremo con il nostro magazzino e ti offriremo una soluzione entro 48 ore lavorative. Ci vediamo molto presto!"
Amazon mi ha garantito il rimborso integrale ,"Gentile Cliente,va bene, non preoccuparti. Una volta ricevuto il prodotto restituito e che soddisfa i requisiti, ti rimborseremo. Grazie e buona giornata?
Estimado cliente,?Espero que est¨¦s bien hoy! De acuerdo con la log¨ªstica, el paquete ha sido entregado. Consultaremos con nuestro almac¨¦n y le ofreceremos una soluci¨®n dentro de las 48 horas h¨¢biles. ?Te ver¨¦ muy pronto!
Gentile Cliente,Spero tu stia bene oggi! Secondo la logistica, il pacco ¨¨ stato consegnato. Verificheremo con il nostro magazzino e ti offriremo una soluzione entro 48 ore lavorative. Ci vediamo molto presto!
Gentile cliente, capiamo perfettamente. Quindi abbiamo rimborsato questo ordine tramite Amazon. Riceverai il denaro in 72 ore lavorative. Siamo molto dispiaciuti per linconveniente. Siamo sempre i benvenuti per il tuo prossimo acquisto.Saluti"
"Sono riuscito ad uscire dall account icloud, ho allegato le foto del dispositivo fronte e retro in diverse angolazioni, all interno della scatola ho riportato ol vodice di sblocco, essendo impossibilitato  a rimuoverlo essendoci lo schermo nero. Cordiali saluti ","Gentile cliente, Grazie per le tue foto.Quindi forse non puoi disattivare il tuo account iCloud sul tuo telefono. Segui le istruzioni per uscire dal tuo account iCloud con un laptop o un computer. Non ¨¨ necessario disporre di un telefono, ¨¨ sufficiente utilizzare un computer o un laptop. 1. Vai alla pagina: https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/f6b3f030-21f9-3358-be39-80c71510480f?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=7KtuXpvm6MlNxE9rzJe9XYZ8TyGZi5vo1RQayJ0DDbd29et_0omPJaBONvwySPPkbMQQbx_bya6DTnYb40LIjw&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 e accedi allaccount iCloud a cui era connesso il tuo dispositivo. 2. Se lautenticazione a due fattori ¨¨ abilitata, dovresti ricevere un codice di verifica sui tuoi dispositivi attendibili. In caso contrario, inserisci la scheda SIM in un nuovo dispositivo e fai clic su ""Non hai ricevuto un codice?"" quindi ""Inviami un SMS"". 3. Fai clic su ""Cerca"" Se non vedi lapp ""Cerca"", significa che non hai effettuato laccesso allaccount iCloud corretto; verifica che sia effettivamente lID Apple utilizzato per il tuo dispositivo. 4. Fai clic su ""Tutti i miei dispositivi"" nella parte superiore della finestra. Se non vedi ""Tutti i miei dispositivi"", significa che hai gi¨¤ selezionato un dispositivo. Fare clic sul nome del dispositivo corrente al centro della barra degli strumenti per accedere allelenco Dispositivi, quindi selezionare un altro dispositivo. 5. Selezionare il dispositivo Apple che si desidera disconnettere, dovrebbe essere offline (con un punto grigio a sinistra). Un dispositivo ¨¨ considerato offline se ¨¨ spento o disconnesso da qualsiasi rete Internet. 6. Fai clic su ""Rimuovi dallaccount"". Se non vedi il pulsante ""Rimuovi dallaccount"", assicurati di disconnettere il dispositivo (spegnilo). 7. Apple ti chiede di confermare la rimozione del dispositivo. Fare clic su ""Elimina"". Infine, Apple ti chiede di inserire la password per convalidare leliminazione. Inserisci la tua password e clicca su ""Elimina"". In questo modo, uscirai correttamente dal tuo account iCloud sul dispositivo. Grazie mille per il vostro sostegno.
Gentile Cliente,Abbiamo ricevuto il telefono, ma ¨¨ fuori garanzia. Il telefono ¨¨ stato ossidato. Letichetta impermeabile ¨¨ bianca quando il telefono ¨¨ stato spedito, ma quando letichetta impermeabile viene a contatto con acqua o altri liquidi, letichetta diventer¨¤ rossa (vedi allegato). In questo caso, non possiamo fornire il servizio post-vendita. Te lo rispediremo, per favore conferma. Grazie per la risposta."
"Va bene, grazie lo stesso ","Gentile Cliente,Grazie per la tua risposta! Ti rispediremo il telefono e ti offriremo il numero di tracciamento al pi¨´ presto.
Gentile cliente, il telefono ti ¨¨ stato rispedito. Il numero di tracciamento ¨¨ CB751255701FR (Corriere: Colissimo). Verr¨¤ spedito entro 24 ore lavorative. Grazie e buona giornata ?"
"Buongiorno, queste sono le foto, poi adesso cercher¨° di uscire dall iCloud, le inserisco all interno della scatola il PIN che avevo messo. Grazie mille ","Gentile cliente, grazie per le tue foto e per favore informaci quando restituisci il telefono. Buona giornata ?"
"Buongiorno, ho un problema non riesco uscire dall iCloud neanche sul computer.Posso comunque restituirle il telefono?Mercoled¨¬ se mi d¨¤ l okey glie l ho spedisco.Le faccio sapere subito","Gentile cliente, rimuovi iCloud prima di restituire il telefono, puoi chiedere aiuto a qualcuno. Grazie per il vostro sostegno e buona giornata ?"
"Buongiorno, forse c¨¨ l ho fatta.Domani pomeriggio restituisco il pacco.Le faccio sapere quando.Grazie mille e buona giornata ","Gentile cliente, grazie e aspetto il tuo aggiornamento. Buona giornata ?"
"Buongiorno, pacco restituito.Grazie mille.Buona giornata ","Gentile Cliente,Grazie per le informazioni! Tracciamo il tuo pacco e ti terremo aggiornato al ricevimento. A presto e buona giornata ¡«"
"Buongiorno, il pacco ¨¦ arrivato?","Gentile cliente, non abbiamo ancora ricevuto il telefono e abbiamo controllato la logistica, ¨¨ arrivato in Francia ora (vedi sotto TL), potremmo riceverlo presto. Non preoccuparti, ti risponderemo una volta ricevuto. Grazie per la pazienza e buona giornata??https://www.aftership.com/track/1Z59EW399135694037https://sellercentral-europe.amazon.com/nms/redirect/1f37e96a-8bef-3943-8452-021dfd3f6651?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=7kzA9YX4nNBDoQDWI-xJO0c3zQvNQJIbPZb2JzXWbhXIy7YK61OhBx8mICkwk_Al5un9Hx6_cY5PG_mKStwNjg&n=1&u=aHR0cHM6Ly93d3cuYWZ0ZXJzaGlwLmNvbS90cmFjay8xWjU5RVczOTkxMzU2OTQwMzc
Gentile Cliente,Spero tu stia bene oggi! Secondo la logistica, il pacco ¨¨ stato consegnato. Verificheremo con il nostro magazzino e ti offriremo una soluzione entro 48 ore lavorative.Ma dopo aver controllato lIMEI 357343094829408 del tuo telefono. Laccount iCloud non ¨¨ stato ancora rimosso vedi allegato. Potresti eliminarlo al pi¨´ presto?Puoi farlo da remoto senza il telefono seguendo la nostra guida scegliendo ""Disconnetti tramite icloud.comhttps://sellercentral-europe.amazon.com/nms/redirect/970cf967-23e8-308e-baba-f8b34454bcba?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=j4USF93thPR9crBXXxPLjGJy9zWVTLt_1loNHyI3XFNtRVE0B9jv1PL82SmN4HPXOzRxa4XuTTfUSxytbUpvDw&n=1&u=aHR0cDovL2ljbG91ZC5jb20 "" qui o con metodo allegato:- Vai su https://www.icloud.com/ehttps://sellercentral-europe.amazon.com/nms/redirect/9a4e9d3d-89fa-3fb0-b0f7-22309aef73c0?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=p5tLxSn-nDMj2Pr7kpyiAVqx-KTSQ2PW9PjrsD1RZ5OCH_wONN4_iTsjjfUCFmMXJJLFAlL9WOn9jBIsF2e_TA&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS9l accedi con lo stesso account iCloud connesso al tuo dispositivo - Fai clic su ""Trova il mio iPhone"" - Fai clic su ""Tutti i dispositivi"" nella parte superiore della finestra - Seleziona il dispositivo che desideri per disconnettersi - Tieni presente che il tuo dispositivo dovrebbe essere offline, dovresti vedere un punto grigio accanto ad esso se lo ¨¨ (un dispositivo ¨¨ considerato offline anche se ¨¨ spento o non connesso a una rete dati) - Fai clic su ""Rimuovi dallaccount"" , quindi fai clic su ""Elimina"" - Inserisci la password del tuo ID Apple e conferma Fammi sapere una volta completati questi passaggi."
